Id,ClientID,ExerciseID,RotationID,DatePerformed,Weight,Sets,Reps,Intensity,Effort,Volume,FatigueIndex
1,1,14,2,8/27/2021,425,1,3,0.85,7,1275,0
2,1,14,2,8/27/2021,385,5,4,0.77,7,7700,1
3,1,25,2,8/27/2021,275,3,8,0.679012346,,6600,0
4,1,5,2,8/27/2021,205,1,1,0.745454545,7,205,0
5,1,5,2,8/27/2021,145,3,8,0.527272727,7,3480,1
6,1,20,2,8/27/2021,60,4,15,,,3600,0
7,1,18,2,8/27/2021,15,4,15,,,900,0
8,1,25,2,8/29/2021,365,1,1,0.901234568,7.5,365,0
9,1,25,2,8/29/2021,375,1,1,0.925925926,7.5,375,1
10,1,25,2,8/29/2021,335,4,4,0.827160494,7.5,5360,2
11,1,8,2,8/29/2021,55,3,15,,,2475,0
12,1,28,2,8/29/2021,150,1,7,0.666666667,7.5,1050,0
13,1,28,2,8/29/2021,135,3,9,0.6,6,3645,1
14,1,18,2,8/29/2021,17.5,3,15,,,787.5,0
15,1,24,2,8/29/2021,85,3,15,,,3825,0
16,1,9,2,8/29/2021,50,3,15,,,2250,0
17,1,38,2,8/30/2021,325,1,1,,7,325,0
18,1,38,2,8/30/2021,285,4,6,,7,6840,1
19,1,5,2,8/30/2021,190,1,4,0.690909091,7.5,760,0
20,1,5,2,8/30/2021,175,3,5,0.636363636,7.5,2625,1
21,1,5,2,8/30/2021,165,1,7,0.6,7.5,1155,2
22,1,29,2,8/30/2021,80,4,10,,,3200,0
23,1,22,2,8/30/2021,45,3,12,,,1620,0
24,1,46,2,8/30/2021,10,3,10,,,300,0
25,1,13,2,8/30/2021,0,3,15,,,0,0
26,1,33,2,8/12/2021,335,1,1,,,335,0
27,1,33,2,8/12/2021,260,3,8,,,6240,1
28,1,30,2,8/12/2021,145,1,6,,,870,0
29,1,30,2,8/12/2021,130,2,6,,,1560,1
30,1,10,2,8/12/2021,105,4,10,,,4200,0
31,1,37,2,8/12/2021,25,4,15,,,1500,0
32,1,41,2,8/12/2021,45,4,15,,,2700,0
33,1,35,2,8/12/2021,25,3,1,,,75,0
34,1,14,2,8/13/2021,405,1,3,0.81,6,1215,0
35,1,14,2,8/13/2021,365,3,4,0.73,6,4380,1
36,1,5,2,8/13/2021,200,1,1,0.727272727,6,200,0
37,1,5,2,8/13/2021,140,3,8,0.509090909,5,3360,1
38,1,25,2,8/13/2021,275,3,7,0.679012346,,5775,0
39,1,20,2,8/13/2021,60,4,12,,,2880,0
40,1,18,2,8/13/2021,15,4,15,,,900,0
41,1,25,2,8/15/2021,355,1,4,0.87654321,6,1420,0
42,1,25,2,8/15/2021,320,4,4,0.790123457,6,5120,1
43,1,28,2,8/15/2021,145,1,7,0.644444444,6.5,1015,0
44,1,28,2,8/15/2021,130,3,9,0.577777778,5,3510,1
45,1,18,2,8/15/2021,15,3,15,,,675,0
46,1,8,2,8/15/2021,45,3,15,,,2025,0
47,1,24,2,8/15/2021,75,3,15,,,3375,0
48,1,9,2,8/15/2021,35,3,20,,,2100,0
49,1,5,2,8/16/2021,180,1,4,0.654545455,6,720,0
50,1,5,2,8/16/2021,165,3,5,0.6,6,2475,1
51,1,5,2,8/16/2021,165,1,7,0.6,6,1155,2
52,1,38,2,8/16/2021,315,1,1,,6,315,0
53,1,38,2,8/16/2021,285,4,6,,6,6840,1
54,1,22,2,8/16/2021,40,4,12,,,1920,0
55,1,29,2,8/16/2021,80,5,10,,,4000,0
56,1,46,2,8/16/2021,10,3,10,,,300,0
57,1,13,2,8/16/2021,0,3,15,,,0,0
58,1,33,2,8/18/2021,350,1,1,,,350,0
59,1,33,2,8/18/2021,275,4,8,,,8800,1
60,1,30,2,8/18/2021,145,1,6,,,870,0
61,1,30,2,8/18/2021,30,3,6,,,540,1
62,1,10,2,8/18/2021,110,4,10,,,4400,0
63,1,37,2,8/18/2021,25,4,15,,,1500,0
64,1,41,2,8/18/2021,45,4,15,,,2700,0
65,1,35,2,8/18/2021,25,3,1,,,75,0
66,1,14,2,8/20/2021,405,1,3,0.81,6,1215,0
67,1,14,2,8/20/2021,365,5,4,0.73,6,7300,1
68,1,5,2,8/20/2021,200,1,1,0.727272727,6,200,0
69,1,5,2,8/20/2021,138,3,8,0.501818182,6,3312,1
70,1,25,2,8/20/2021,275,3,7,0.679012346,,5775,0
71,1,20,2,8/20/2021,60,4,12,,,2880,0
72,1,18,2,8/20/2021,15,4,15,,,900,0
73,1,25,2,8/22/2021,365,1,4,0.901234568,6.5,1460,0
74,1,25,2,8/22/2021,330,4,4,0.814814815,6.5,5280,1
75,1,28,2,8/22/2021,150,1,7,0.666666667,7,1050,0
76,1,28,2,8/22/2021,135,3,9,0.6,6,3645,1
77,1,18,2,8/22/2021,15,3,15,,,675,0
78,1,8,2,8/22/2021,45,3,15,,,2025,0
79,1,24,2,8/22/2021,75,3,15,,,3375,0
80,1,9,2,8/22/2021,35,3,20,,,2100,0
81,1,5,2,8/23/2021,180,1,4,0.654545455,6.5,720,0
82,1,5,2,8/23/2021,165,3,5,0.6,6.5,2475,1
83,1,5,2,8/23/2021,165,1,9,0.6,7,1485,2
84,1,38,2,8/23/2021,325,1,1,,7,325,0
85,1,38,2,8/23/2021,275,4,6,,7,6600,1
86,1,22,2,8/23/2021,45,4,12,,,2160,0
87,1,29,2,8/23/2021,80,5,10,,,4000,0
88,1,46,2,8/23/2021,10,3,10,,,300,0
89,1,13,2,8/23/2021,0,3,15,,,0,0
90,1,33,2,8/25/2021,325,1,1,,,325,0
91,1,25,2,8/25/2021,275,4,8,0.679012346,5.5,8800,0
92,1,30,2,8/25/2021,155,1,6,,,930,0
93,1,30,2,8/25/2021,135,3,6,,,2430,1
94,1,10,2,8/25/2021,110,4,10,,,4400,0
95,1,37,2,8/25/2021,0,4,15,,,0,0
96,1,41,2,8/25/2021,45,4,15,,,2700,0
97,1,33,2,9/1/2021,325,1,1,,,325,0
98,1,33,2,9/1/2021,260,2,8,,,4160,1
99,1,25,2,9/1/2021,260,2,8,0.641975309,,4160,0
100,1,30,2,9/1/2021,155,1,6,,,930,0
101,1,30,2,9/1/2021,135,3,6,,,2430,1
102,1,10,2,9/1/2021,110,4,10,,,4400,0
103,1,37,2,9/1/2021,0,4,15,,,0,0
104,1,41,2,9/1/2021,45,4,15,,,2700,0
